Type,Value
logit_lens_mlp_out_0,-0.02293577790260315
logit_lens_mlp_out_1,-0.0022935867309570312
logit_lens_mlp_out_2,-0.03899082541465759
logit_lens_mlp_out_3,-0.018348634243011475
logit_lens_mlp_out_4,-0.0917431116104126
logit_lens_mlp_out_5,-0.07798165082931519
logit_lens_mlp_out_6,-0.04357796907424927
logit_lens_mlp_out_7,-0.05045872926712036
logit_lens_mlp_out_8,-0.03440368175506592
logit_lens_mlp_out_9,0.03669726848602295
logit_lens_mlp_out_10,-0.04357796907424927
logit_lens_mlp_out_11,-0.03669723868370056
logit_lens_mlp_out_12,0.03211009502410889
logit_lens_mlp_out_13,-0.08944955468177795
logit_lens_mlp_out_14,-0.08027523756027222
logit_lens_mlp_out_15,0.0
logit_lens_mlp_out_16,0.020642220973968506
logit_lens_mlp_out_17,-0.04357796907424927
logit_lens_mlp_out_18,-0.020642191171646118
logit_lens_mlp_out_19,0.020642220973968506
logit_lens_mlp_out_20,0.06192660331726074
logit_lens_mlp_out_21,0.07339447736740112
logit_lens_mlp_out_22,0.05275231599807739
logit_lens_mlp_out_23,0.07110089063644409
logit_lens_mlp_out_24,0.0665137767791748
logit_lens_mlp_out_25,0.06422019004821777
logit_lens_mlp_out_26,0.041284382343292236
logit_lens_mlp_out_27,0.018348634243011475
logit_lens_mlp_out_28,0.05504584312438965
logit_lens_mlp_out_29,-0.10779815912246704
logit_lens_mlp_out_30,-0.07110092043876648
logit_lens_mlp_out_31,-0.19495412707328796
