Head,Value
logit_lens_head_out_L0H0,-0.018518507480621338
logit_lens_head_out_L0H1,0.006944417953491211
logit_lens_head_out_L0H2,0.025462985038757324
logit_lens_head_out_L0H3,0.06944441795349121
logit_lens_head_out_L0H4,-0.030092597007751465
logit_lens_head_out_L0H5,0.0
logit_lens_head_out_L0H6,0.009259283542633057
logit_lens_head_out_L0H7,-0.006944447755813599
logit_lens_head_out_L0H8,0.013888895511627197
logit_lens_head_out_L0H9,-0.013888895511627197
logit_lens_head_out_L0H10,0.09953701496124268
logit_lens_head_out_L0H11,0.032407402992248535
logit_lens_head_out_L0H12,0.06018519401550293
logit_lens_head_out_L0H13,0.025462985038757324
logit_lens_head_out_L0H14,0.020833313465118408
logit_lens_head_out_L0H15,0.006944417953491211
logit_lens_head_out_L1H0,0.011574089527130127
logit_lens_head_out_L1H1,0.0
logit_lens_head_out_L1H2,0.013888895511627197
logit_lens_head_out_L1H3,0.0023148059844970703
logit_lens_head_out_L1H4,0.020833313465118408
logit_lens_head_out_L1H5,0.006944417953491211
logit_lens_head_out_L1H6,0.05324071645736694
logit_lens_head_out_L1H7,0.027777791023254395
logit_lens_head_out_L1H8,0.020833313465118408
logit_lens_head_out_L1H9,0.020833313465118408
logit_lens_head_out_L1H10,-0.004629641771316528
logit_lens_head_out_L1H11,0.0
logit_lens_head_out_L1H12,0.016203701496124268
logit_lens_head_out_L1H13,0.0
logit_lens_head_out_L1H14,0.025462985038757324
logit_lens_head_out_L1H15,0.018518507480621338
logit_lens_head_out_L2H0,0.006944417953491211
logit_lens_head_out_L2H1,-0.0023148059844970703
logit_lens_head_out_L2H2,0.013888895511627197
logit_lens_head_out_L2H3,0.013888895511627197
logit_lens_head_out_L2H4,-0.018518507480621338
logit_lens_head_out_L2H5,0.04629629850387573
logit_lens_head_out_L2H6,0.04629629850387573
logit_lens_head_out_L2H7,0.006944417953491211
logit_lens_head_out_L2H8,0.020833313465118408
logit_lens_head_out_L2H9,0.013888895511627197
logit_lens_head_out_L2H10,0.004629611968994141
logit_lens_head_out_L2H11,0.032407402992248535
logit_lens_head_out_L2H12,0.034722208976745605
logit_lens_head_out_L2H13,0.030092597007751465
logit_lens_head_out_L2H14,0.0023148059844970703
logit_lens_head_out_L2H15,0.018518507480621338
logit_lens_head_out_L3H0,0.004629611968994141
logit_lens_head_out_L3H1,-0.016203701496124268
logit_lens_head_out_L3H2,0.034722208976745605
logit_lens_head_out_L3H3,-0.006944447755813599
logit_lens_head_out_L3H4,0.004629611968994141
logit_lens_head_out_L3H5,-0.01157405972480774
logit_lens_head_out_L3H6,-0.006944447755813599
logit_lens_head_out_L3H7,-0.032407402992248535
logit_lens_head_out_L3H8,-0.05092594027519226
logit_lens_head_out_L3H9,0.006944417953491211
logit_lens_head_out_L3H10,-0.006944447755813599
logit_lens_head_out_L3H11,-0.01157405972480774
logit_lens_head_out_L3H12,0.013888895511627197
logit_lens_head_out_L3H13,-0.018518507480621338
logit_lens_head_out_L3H14,-0.025462955236434937
logit_lens_head_out_L3H15,-0.013888895511627197
logit_lens_head_out_L4H0,0.006944417953491211
logit_lens_head_out_L4H1,0.009259283542633057
logit_lens_head_out_L4H2,-0.016203701496124268
logit_lens_head_out_L4H3,0.006944417953491211
logit_lens_head_out_L4H4,-0.025462955236434937
logit_lens_head_out_L4H5,0.0
logit_lens_head_out_L4H6,0.004629611968994141
logit_lens_head_out_L4H7,0.009259283542633057
logit_lens_head_out_L4H8,0.004629611968994141
logit_lens_head_out_L4H9,-0.006944447755813599
logit_lens_head_out_L4H10,-0.009259253740310669
logit_lens_head_out_L4H11,-0.004629641771316528
logit_lens_head_out_L4H12,-0.018518507480621338
logit_lens_head_out_L4H13,0.009259283542633057
logit_lens_head_out_L4H14,0.0
logit_lens_head_out_L4H15,0.0
logit_lens_head_out_L5H0,0.04166668653488159
logit_lens_head_out_L5H1,0.032407402992248535
logit_lens_head_out_L5H2,0.04629629850387573
logit_lens_head_out_L5H3,0.037037014961242676
logit_lens_head_out_L5H4,0.016203701496124268
logit_lens_head_out_L5H5,0.04398149251937866
logit_lens_head_out_L5H6,0.03935188055038452
logit_lens_head_out_L5H7,0.04398149251937866
logit_lens_head_out_L5H8,0.05324071645736694
logit_lens_head_out_L5H9,0.013888895511627197
logit_lens_head_out_L5H10,0.04629629850387573
logit_lens_head_out_L5H11,0.004629611968994141
logit_lens_head_out_L5H12,0.009259283542633057
logit_lens_head_out_L5H13,0.004629611968994141
logit_lens_head_out_L5H14,-0.006944447755813599
logit_lens_head_out_L5H15,0.030092597007751465
logit_lens_head_out_L6H0,0.011574089527130127
logit_lens_head_out_L6H1,-0.037037044763565063
logit_lens_head_out_L6H2,0.011574089527130127
logit_lens_head_out_L6H3,0.0
logit_lens_head_out_L6H4,0.020833313465118408
logit_lens_head_out_L6H5,0.006944417953491211
logit_lens_head_out_L6H6,0.030092597007751465
logit_lens_head_out_L6H7,0.011574089527130127
logit_lens_head_out_L6H8,0.032407402992248535
