Type,Value
logit_lens_attn_out_0,0.025462985038757324
logit_lens_attn_out_1,0.013888895511627197
logit_lens_attn_out_2,0.018518507480621338
logit_lens_attn_out_3,-0.0023148059844970703
logit_lens_attn_out_4,-0.01157405972480774
logit_lens_attn_out_5,0.05555558204650879
logit_lens_attn_out_6,0.011574089527130127
logit_lens_attn_out_7,0.032407402992248535
logit_lens_attn_out_8,0.006944417953491211
logit_lens_attn_out_9,-0.023148149251937866
logit_lens_attn_out_10,0.018518507480621338
logit_lens_attn_out_11,0.016203701496124268
logit_lens_attn_out_12,0.0
logit_lens_attn_out_13,-0.023148149251937866
logit_lens_attn_out_14,-0.0486111044883728
logit_lens_attn_out_15,0.0023148059844970703
logit_lens_attn_out_16,0.0
logit_lens_attn_out_17,0.0023148059844970703
logit_lens_attn_out_18,0.0486111044883728
logit_lens_attn_out_19,-0.018518507480621338
logit_lens_attn_out_20,0.04166668653488159
logit_lens_attn_out_21,-0.018518507480621338
logit_lens_attn_out_22,0.04629629850387573
logit_lens_attn_out_23,-0.023148149251937866
logit_lens_attn_out_24,-0.05324074625968933
logit_lens_attn_out_25,0.030092597007751465
logit_lens_attn_out_26,0.02314811944961548
logit_lens_attn_out_27,0.04629629850387573
logit_lens_attn_out_28,0.10185188055038452
logit_lens_attn_out_29,0.0625
logit_lens_attn_out_30,0.10648149251937866
logit_lens_attn_out_31,0.1458333134651184
logit_lens_attn_out_32,0.006944417953491211
logit_lens_attn_out_33,0.08101850748062134
logit_lens_attn_out_34,-0.037037044763565063
logit_lens_attn_out_35,0.06944441795349121
logit_lens_attn_out_36,0.22685188055038452
logit_lens_attn_out_37,-0.025462955236434937
logit_lens_attn_out_38,0.15509259700775146
logit_lens_attn_out_39,-0.07175925374031067
logit_lens_attn_out_40,0.006944417953491211
logit_lens_attn_out_41,0.1666666865348816
logit_lens_attn_out_42,0.1736111044883728
logit_lens_attn_out_43,0.027777791023254395
logit_lens_attn_out_44,0.12268519401550293
logit_lens_attn_out_45,0.14814811944961548
logit_lens_attn_out_46,0.20601850748062134
logit_lens_attn_out_47,0.0763888955116272
