Type,Value
logit_lens_mlp_out_0,0.006944417953491211
logit_lens_mlp_out_1,0.05324071645736694
logit_lens_mlp_out_2,0.013888895511627197
logit_lens_mlp_out_3,0.025462985038757324
logit_lens_mlp_out_4,-0.039351850748062134
logit_lens_mlp_out_5,0.0023148059844970703
logit_lens_mlp_out_6,-0.05324074625968933
logit_lens_mlp_out_7,-0.009259253740310669
logit_lens_mlp_out_8,-0.0555555522441864
logit_lens_mlp_out_9,-0.0023148059844970703
logit_lens_mlp_out_10,-0.041666656732559204
logit_lens_mlp_out_11,0.009259283542633057
logit_lens_mlp_out_12,0.020833313465118408
logit_lens_mlp_out_13,-0.023148149251937866
logit_lens_mlp_out_14,-0.020833343267440796
logit_lens_mlp_out_15,-0.0486111044883728
logit_lens_mlp_out_16,0.004629611968994141
logit_lens_mlp_out_17,-0.04398149251937866
logit_lens_mlp_out_18,-0.04398149251937866
logit_lens_mlp_out_19,0.05092591047286987
logit_lens_mlp_out_20,-0.023148149251937866
logit_lens_mlp_out_21,-0.009259253740310669
logit_lens_mlp_out_22,0.006944417953491211
logit_lens_mlp_out_23,-0.0023148059844970703
logit_lens_mlp_out_24,0.018518507480621338
logit_lens_mlp_out_25,-0.020833343267440796
logit_lens_mlp_out_26,0.03935188055038452
logit_lens_mlp_out_27,0.025462985038757324
logit_lens_mlp_out_28,0.02314811944961548
logit_lens_mlp_out_29,0.037037014961242676
logit_lens_mlp_out_30,0.0625
logit_lens_mlp_out_31,-0.004629641771316528
logit_lens_mlp_out_32,0.05787038803100586
logit_lens_mlp_out_33,0.10648149251937866
logit_lens_mlp_out_34,0.1388888955116272
logit_lens_mlp_out_35,0.0972222089767456
logit_lens_mlp_out_36,0.06481480598449707
logit_lens_mlp_out_37,0.06018519401550293
logit_lens_mlp_out_38,0.13425928354263306
logit_lens_mlp_out_39,0.07175928354263306
logit_lens_mlp_out_40,0.08101850748062134
logit_lens_mlp_out_41,-0.009259253740310669
logit_lens_mlp_out_42,0.027777791023254395
logit_lens_mlp_out_43,-0.034722208976745605
logit_lens_mlp_out_44,-0.1041666567325592
logit_lens_mlp_out_45,-0.13657405972480774
logit_lens_mlp_out_46,-0.19907405972480774
logit_lens_mlp_out_47,-0.16898149251937866
